id	lnClb	lnCub
epist_e	-14.50865774	1
fum_e	1	1
fum_m	-14.50865774	1
g1p_c	-14.50865774	1
glyc3p_c	-14.50865774	1
g3p_c	-14.50865774	1
g3pc_c	-14.50865774	1
g3pc_e	1	1
epistest_SC_c	-14.50865774	1
epistest_SC_e	-14.50865774	1
epm_c	-14.50865774	1
glyc3p_m	-14.50865774	1
ergst3glc_c	-14.50865774	1
g3pi_c	-14.50865774	1
ergst_c	-14.50865774	1
glyc_c	-14.50865774	1
ergst_e	-14.50865774	1
g3pi_e	1	1
g6p_B_c	-14.50865774	1
glyc_e	1	1
g6p_c	-14.50865774	1
ergst_r	-14.50865774	1
ergstest_SC_c	-14.50865774	1
g6p_r	-14.50865774	1
glycogen_c	-14.50865774	1
ergstest_SC_e	-14.50865774	1
glycogen_v	-14.50865774	1
ergtetrol_c	-14.50865774	1
gal1p_c	-14.50865774	1
glytrna_c	-14.50865774	1
gal_c	-14.50865774	1
gal_e	1	1
ergtetrol_r	-14.50865774	1
ergtrol_c	-14.50865774	1
gmp_c	-14.50865774	1
ertascb__D_c	-14.50865774	1
gmp_g	-14.50865774	1
etha_c	-14.50865774	1
galur_e	1	1
gp4g_c	-14.50865774	1
gam1p_c	-14.50865774	1
etha_e	1	1
grdp_c	-14.50865774	1
ethamp_c	-14.50865774	1
gam6p_c	-14.50865774	1
gam6p_e	1	1
etoh_c	-14.50865774	1
gsn_c	-14.50865774	1
etoh_e	1	1
etoh_m	-14.50865774	1
gar_c	-14.50865774	1
gcald_c	-14.50865774	1
gsn_e	1	1
gcald_e	-14.50865774	1
gsn_m	-14.50865774	1
gcald_m	-14.50865774	1
gthox_c	-14.50865774	1
gdp_c	-14.50865774	1
gthox_e	1	1
gdp_g	-14.50865774	1
gthox_m	-14.50865774	1
gdp_m	-14.50865774	1
gthrd_c	-14.50865774	1
gdp_n	-14.50865774	1
hxc2coa_x	-14.50865774	1
gdpmann_c	-14.50865774	1
gthrd_e	1	1
gdpmann_g	-14.50865774	1
hxdcal_c	-14.50865774	1
gthrd_m	-14.50865774	1
iad_c	-14.50865774	1
iamac_c	-14.50865774	1
ggdp_c	-14.50865774	1
gthrd_v	-14.50865774	1
ggl_c	-14.50865774	1
iamac_e	-14.50865774	1
gtp_c	-14.50865774	1
iamoh_c	-14.50865774	1
glc__D_c	-14.50865774	1
gtp_m	-14.50865774	1
glc__D_e	1	1
iamoh_e	-14.50865774	1
gua_c	-14.50865774	1
iamoh_m	-14.50865774	1
glc__D_v	-14.50865774	1
gua_e	1	1
gln__L_c	-14.50865774	1
gln__L_e	1	1
iasp_c	-14.50865774	1
gua_m	-14.50865774	1
ibutac_c	-14.50865774	1
gln__L_n	-14.50865774	1
h2o2_c	-14.50865774	1
gln__L_v	-14.50865774	1
ibutac_e	-14.50865774	1
h2o2_m	-14.50865774	1
ibutoh_c	-14.50865774	1
glntrna_c	-14.50865774	1
h2o2_n	-14.50865774	1
glp_c	-14.50865774	1
ibutoh_e	-14.50865774	1
ibutoh_m	-14.50865774	1
h2o2_x	-14.50865774	1
icit_c	-14.50865774	1
glu5p_c	-14.50865774	1
glu5sa_c	-14.50865774	1
h2o_c	1	1
glu5sa_m	-14.50865774	1
icit_m	-14.50865774	1
icit_x	-14.50865774	1
id3acald_c	-14.50865774	1
glu__L_c	-14.50865774	1
glu__L_e	1	1
h2o_e	1	1
glu__L_m	-14.50865774	1
id3acald_e	-14.50865774	1
id3acald_m	-14.50865774	1
h2o_g	-14.50865774	1
idp_c	-14.50865774	1
glu__L_n	-14.50865774	1
h2o_m	-14.50865774	1
glu__L_v	-14.50865774	1
glu__L_x	-14.50865774	1
idp_m	-14.50865774	1
h2o_n	-14.50865774	1
ile__L_c	-14.50865774	1
gluala_c	-14.50865774	1
h2o_r	-14.50865774	1
glucys_c	-14.50865774	1
ile__L_e	1	1
h2o_v	-14.50865774	1
ile__L_m	-14.50865774	1
glutrna_c	-14.50865774	1
h2o_x	-14.50865774	1
glutrna_m	-14.50865774	1
glx_c	-14.50865774	1
ile__L_v	-14.50865774	1
iletrna_c	-14.50865774	1
h2s_c	-14.50865774	1
iletrna_m	-14.50865774	1
glx_e	-14.50865774	1
hLkynr_c	-14.50865774	1
glx_x	-14.50865774	1
imacp_c	-14.50865774	1
h_c	1	1
imp_c	-14.50865774	1
gly_c	-14.50865774	1
h_e	1	1
gly_e	1	1
ind3ac_c	-14.50865774	1
h_g	-14.50865774	1
ind3ac_m	-14.50865774	1
ind3acnl_c	-14.50865774	1
gly_m	-14.50865774	1
glyald_c	-14.50865774	1
h_m	-14.50865774	1
ind3eth_c	-14.50865774	1
h_n	-14.50865774	1
ind3eth_e	-14.50865774	1
h_r	-14.50865774	1
ind3eth_m	-14.50865774	1
h_v	-14.50865774	1
indpyr_c	-14.50865774	1
mal__L_x	-14.50865774	1
h_x	-14.50865774	1
inost_c	-14.50865774	1
hcit_m	-14.50865774	1
inost_e	1	1
malcoa_c	-14.50865774	1
hcit_n	-14.50865774	1
malcoa_m	-14.50865774	1
ins_c	-14.50865774	1
hco3_c	-14.50865774	1
ins_e	1	1
ipc124_SC_c	-14.50865774	1
malt_c	-14.50865774	1
hco3_m	-14.50865774	1
malt_e	1	1
ipc126_SC_c	-14.50865774	1
hco3_n	-14.50865774	1
ipc224_SC_c	-14.50865774	1
man1p_c	-14.50865774	1
hcys__L_c	-14.50865774	1
man2mi1p__D_c	-14.50865774	1
ipc226_SC_c	-14.50865774	1
hcys__L_x	-14.50865774	1
ipc324_SC_c	-14.50865774	1
man6p_c	-14.50865774	1
hdca_c	-14.50865774	1
man_c	-14.50865774	1
ipc326_SC_c	-14.50865774	1
hdca_e	1	1
ipdp_c	-14.50865774	1
man_e	1	1
hdca_x	-14.50865774	1
manmi1p__D_c	-14.50865774	1
mannan_c	-14.50865774	1
ipdp_m	-14.50865774	1
