reaction	g0
EX_thmpp_e	1e-05
EX_thr__L_e	142.0
EX_thym_e	-25.0
EX_thymd_e	-37.0
EX_tre_e	631.6
EX_trp__L_e	-403.8
EX_ttdca_e	1e-05
EX_tyr__L_e	-102.6
EX_ura_e	68.0
EX_urea_e	30.7
EX_uri_e	215.0
EX_val__L_e	-114.6
EX_xan_e	-57.0
EX_xtsn_e	101.0
EX_xyl__D_e	319.9
EX_xylt_e	267.6
EX_zymst_e	-1e-05
EX_zymstest_SC_e	1e-05
FA100tp	1e-05
FA120ACPHi	-1e-05
FA120ACPHi_reverse	1e-05
FA120ACPtm	1e-05
FA120tp	1e-05
FA140ACPHi	-1e-05
FA140ACPHi_reverse	1e-05
FA140ACPtm	1e-05
FA140COAabcp	-29.14
FA140tp	1e-05
FA141ACPHi	-1e-05
FA141ACPHi_reverse	1e-05
FA141ACPtm	1e-05
FA141COAabcp	-29.14
FA141tp	1e-05
FA160ACPHi	1e-05
FA160ACPHi_reverse	-1e-05
FA160ACPtm	1e-05
FA160COAabcp	-29.14
FA160tp	1e-05
FA161ACPHi	-1e-05
FA161ACPHi_reverse	1e-05
FA161ACPtm	1e-05
FA161COAabcp	-29.14
FA161tp	1e-05
FA180ACPH	1e-05
FA180ACPH_reverse	-1e-05
FA180ACPtm	1e-05
FA180COAabcp	-29.14
FA181ACPH	1e-05
FA181ACPH_reverse	-1e-05
FA181ACPtm	1e-05
FA181COAabcp	-29.14
FA182ACPH	-1e-05
FA182ACPH_reverse	1e-05
FA182ACPtm	1e-05
FA182COAabcp	-29.14
FA240tp	1e-05
FA260tp	1e-05
FA80tp	1e-05
FACOAL100p	-1e-05
FACOAL100p_reverse	1e-05
FACOAL120p	1e-05
FACOAL120p_reverse	-1e-05
FACOAL140	1e-05
FACOAL140_reverse	-1e-05
FACOAL140p	1e-05
FACOAL140p_reverse	-1e-05
FACOAL141	-1e-05
FACOAL141_reverse	1e-05
FACOAL141p	-1e-05
FACOAL141p_reverse	1e-05
FACOAL160	-13.0
FACOAL160_reverse	13.0
FACOAL160p	-13.0
FACOAL160p_reverse	13.0
FACOAL161	-1e-05
FACOAL161_reverse	1e-05
FACOAL161p	-1e-05
FACOAL161p_reverse	1e-05
FACOAL180	-12.7
FACOAL180_reverse	12.7
FACOAL181	-1e-05
FACOAL181_reverse	1e-05
FACOAL182	-1e-05
FACOAL182_reverse	1e-05
FACOAL240p	-1e-05
FACOAL240p_reverse	1e-05
FACOAL260p	-1e-05
FACOAL260p_reverse	1e-05
FACOAL80p	-12.7
FACOAL80p_reverse	12.7
FADFMNtm	1e-05
FALDH	-43.0
FALDH_reverse	43.0
FAO141p_even	1e-05
FAO141p_odd	1e-05
FAO161p_even	1e-05
FAO161p_odd	1e-05
FAO181p_even	1e-05
FAO181p_odd	1e-05
FAO182p_eveneven	1e-05
FAO182p_evenodd	1e-05
FAO182p_oddodd	1e-05
FAO240p	1e-05
FAO80p	-266.0
FAS100	-1e-05
FAS100ACPm	1e-05
FAS100COA	-1e-05
FAS120	-1e-05
FAS120ACPm	1e-05
FAS120COA	1e-05
FAS140	-1e-05
FAS140ACPm	1e-05
FAS140COA	-56.0
FAS141	1e-05
FAS141ACPm	1e-05
FAS160	1e-05
FAS160ACPm	1e-05
FAS160COA	-59.0
FAS161	1e-05
FAS161ACPm	1e-05
FAS180	-54.0
FAS180ACPm	1e-05
FAS180COA	-54.0
FAS181	-449.0
FAS181ACPm	1e-05
FAS182ACPm	1e-05
FAS240_L	-1e-05
FAS260	-1e-05
FAS80ACPm_L	1e-05
FAS80COA_L	-163.0
FAS80_L	-192.0
FBA	23.0
FBA2	28.9
FBA2_reverse	-28.9
FBA3	21.0
FBA3_reverse	-21.0
FBA_reverse	-23.0
FBP	-12.0
FBP26	-35.3
FCLTm	1e-05
FDH	-14.4
FDNG	-147.0
FE2t	1e-05
FE2utm	1e-05
FECOSTAT_SC	-1728.0
FECOSTESTH_SC	152.1
FECOSTESTH_SCe	152.1
FECOSTt	1e-05
FECOSTt_reverse	-1e-05
FEtm	1e-05
FKYNH	-36.0
FMETTRSm	-1e-05
FMNAT	-11.0
FMNATm	-11.0
FMNRx	-21.4
FMNRx2	-21.4
FOLD3m	-62.0
FORt	1e-05
FORt_reverse	-1e-05
FORtm	1e-05
